img_name,text,target
data\training\imgs_creditcard\research-media-file-adc267022b77cc1ce6379999d478fdcc.jpg,secure checkout edit shopping bag shipping information order summary item bag billing address shipping handling payment option subtotal est tax balance applied paypal tocreditcard credit card credit card number we accept major credit card free shipping xk xxxx xxxx xk purchase detail expiration security code continue to review order month year what this bean buck available what bean buck norton secured verisign,2
data\training\imgs_creditcard\research-media-file-df02e0cb39cce2a1de469828493a3995.jpg,secure checkout john lewis delivery review pay receipt review pay al use gift card gift voucher payment detail ea visa card type hr partnership card use paypal card number expiry date mm yyyy name card security number sreren your billing address,2
data\training\imgs_creditcard\Screenshot 2022-06-02 100838.png,checkor nent amount payment method customer information payment method payment detail ubtot transaction fee total,1
data\training\imgs_creditcard\Screenshot 2022-06-13 152314.png,your xx com poet ey your rede local fron time the co hom ab sep canix amazonnl en cpe yourpayments wallet ref ya pmt mpo ax meen an canvas calculator detexify dictionary osiris planapp icloud bookmyspace driving theory pisep qseppive amo oo lab go ff other bookmark add credit debit card card number amazon accepts major credit debit card name card visa ndate cancel add card type search ch ro cy lr ze coe bi,2
data\training\imgs_creditcard\Screenshot 2022-06-13 153921.png,comp poetry localh front time bb sept word iamsterdam com en canvas calculator detexify dictionary siris icloud ey kmyspace driving theory br sep sep drive menu language visa visa credit card iam mastercard credit card your shopping basket mastercard hour city card bp paypal paypal digital card smartphone total american express credit card your information ideal continue to payment maestro credit card maestro go back sofort louse jcb creditcard,2
data\training\imgs_creditcard\Screenshot 2022-06-13 153955.png,comp poetr localh front time word paym secure ogone com ew lator detexify dictionar icloud bo oq payment confirmation order reference payment total charge eur beneficiary amsterdam via ingenico financial solution nv sa pay card number can actuall maestro card expiry date mm yyyy card verification code what this mandatory field yes confirm payment which personal information collected used worldline aw about worldline security legal info back,2
data\training\imgs_creditcard\Screenshot 2022-06-13 154949.png,your xx com poet efe ic mh rede local fron xx time hom ab sep gith sant ba bole pi sep sepprive gc bw ae gc bm other bookmark bol com nl mwy checkout bligh ub ckh gkpvlng login modal credit card new ser bar an canvas calculator detexify dictionary osiris planapp icloud bookmyspace fj driving theory credit card card number expiry date mm jj often marked valid thru cvc cid code name card le save card detail further type search oo ei by enn bt,2
data\training\imgs_creditcard\Screenshot 2022-06-13 155658.png,comp poet bb reden localh fronte time shop flower nl lator detexify dictiona vi sep drive select size small vase no vase add chocolate select card type lot strength sterkte your message card love ig detail the shipping method use delivery you enter address delivery detail next page netherlands local florist select want pay later note this preselection only filling delivery address detail next page ask pay apple pay mastercard wsa visa bancontact sofort giropay visa lex credit card do voucher discount code you may enter here sale tax inc total alarlir mvelela on next page enter delivery detail,2
data\training\imgs_creditcard\Screenshot 2022-06-13 155838.png,comp poetr localt front time payv multisafepay com tor detexify dictionary sep drive urlowers delivering emotion www flower nl your florist webshop order detail order tot eur mastercard bank banktransfer ideal bancontact tan ences american express maestro visa visa giropay,2
data\training\imgs_creditcard\Screenshot 2022-06-13 155854.png,comp poetr localt front payv multisafepay com tor detexify dictionary ving thi sep drive bi flower www flower nl your florist webshop order detail order total eur mastercard card number card holder expiry date cvc cvv cancel powered multisafepay,2
data\training\imgs_creditcard\Screenshot 2022-06-13 160210.png,con poe git tripadvisor com lator detexify dictiona planapp myspe ving theo sep sep drive payment detail this form encrypted information always guaranteed secure view detail review order detail hour eindhoven city self guided walking tour review hour eindhoven city self guided walking tour tuesday june cardholder name adult non refundable cred con mi tax paypal co google pay booking fee credit debit card number subtotal total aa expiration date cvc code month year book confidence qo lowest price guarantee billing address find cheaper we ll refund difference country postal zip code privacy protection we use ssl encryption keep united state bd dete soeue py global support add card account future use get answer need en,2
data\training\imgs_creditcard\Screenshot 2022-06-13 160537.png,outlook overview os search fron virtuall oe in get started tue software title category sg all item required password spotify card detail ca secure note rc gh credit card cardholder name readme pdf google personal info chrome card number tool password generator required password health expiration date cv oo databreach scanner emergency access taney card pin qe zip postal code whatsapp adobe intelli se creati ge eo type search on ing,2
data\training\imgs_creditcard\Screenshot 2022-06-13 161842.png,your pr compu poetry dem localho fronte time use ab sep ti github fram ure wi ee tt michaelkors eu edit billing address add new billing address view order detail by clicking pay now agree michael kor term condition privacy policy apply promo code enter promo code apply cancel apply gift card debit credit card pay time klarna lama pay now klarna loa pay later klarna lama paypal paypal order confirmation checkout shopping bag promo en eng,2
data\training\imgs_creditcard\Screenshot 2022-06-13 161923.png,your pr compu poetry co localhc fronte time use ab sep ti github fram ure wi ee michaelkors eu ew edit billing address add new billing address view order detail vv pay now by clicking pay now agree michael kor term condition privacy policy select payment method apply promo code apply gift card debit credit card oe name on card card number expiration date mm yy mm yyyy security code cv pay time klarna pay now klarna,2
data\training\imgs_creditcard\Screenshot 2022-06-13 162646.png,con poe te loc fro git but shop butipelletterie com en orde ae eur eeng puté av ye woman universatile man smallleathergoods sale buti world search pay pay card saved device clicking button fill card detail submit end page vocoat ee ton master wisa cardholder name card number expiry date cvcicw mm yy cvc ta postal code pay bank wire waiting analytics google com eng fis,2
data\training\imgs_creditcard\Screenshot 2022-06-13 163018.png,you con poe loce fro git pay mollie nl payment start order stichting eindhoven visa amex pay fa payment secured provided mollie,2
data\training\imgs_creditcard\Screenshot 2022-06-13 163656.png,con poe coolblue nl fro git key pay tt payment method how would like pay redeem gift card re deal ete tate credit cara visa card number name cardholder no name entered expiration date cvcicw bank transfer shopping cart logitech wireless keyboard qwerty pink shipping cost free total amount edit shopping cart,2
data\training\imgs_creditcard\update-cc2.png,update credit card card number expiration date security code postal code update credit card digit back visa mc discover digit front right american express click find security code please note pci privacy security reason credit card data transmitted via form directly third party payment processor stripe retained pair network please review stripe term condition privacy policy,2
data\training\imgs_creditcard\zara1.png,enter your card detail visa card number card holder expiry date month cwv security code svv lal year total eur including vat help continue,2
data\training\imgs_creditcard\zara2.png,enter your card detail card number card holder expiry date month cwv security code svv lal year total inet eur help continue,2
data\training\imgs_creditcard\zara3.png,enter your card detail card number card holder expiry date month cwv security code lal year total eur ine ie vat help continue,2
